fund,date,direction,ticker,cusip,company,shares,% of etf
ARKG,2021-02-16,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,360361,0.1032
ARKG,2021-02-16,Buy,VEEV,922475108,VEEVA SYSTEMS INC,17771,0.0447
ARKG,2021-02-16,Buy,ABBV,00287Y109,ABBVIE INC,121900,0.1005
ARKG,2021-02-16,Buy,BFLY,124155102,BUTTERFLY NETWORK INC,27408,0.0048
ARKG,2021-02-16,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,1646,0.0021
ARKG,2021-02-16,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,17049,0.0064
ARKG,2021-02-16,Sell,CDNA,14167L103,CAREDX INC,9220,0.0066
ARKG,2021-02-16,Sell,VCYT,92337F107,VERACYTE INC,21481,0.0129
ARKK,2021-02-16,Buy,NTDOY,654445303,NINTENDO CO LTD,68500,0.0202
ARKK,2021-02-16,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,51023,0.0193
ARKK,2021-02-16,Buy,FATE,31189P102,FATE THERAPEUTICS INC,26283,0.0096
ARKK,2021-02-16,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,44342,0.0078
ARKK,2021-02-16,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,3367,0.0002
ARKK,2021-02-16,Sell,SSYS,M85548101,STRATASYS LTD,28069,0.0051
ARKK,2021-02-16,Sell,MTLS,57667T100,MATERIALISE NV,21152,0.0064
ARKK,2021-02-16,Sell,SPLK,848637104,SPLUNK INC,119650,0.0737
ARKQ,2021-02-16,Buy,AMZN,023135106,AMAZON.COM INC,1875,0.1509
ARKQ,2021-02-16,Buy,ISRG,46120E602,INTUITIVE SURGICAL INC,1793,0.0356
ARKQ,2021-02-16,Buy,LMT,539830109,LOCKHEED MARTIN CORP,10600,0.0886
ARKQ,2021-02-16,Buy,TDY,879360105,TELEDYNE TECHNOLOGIES INC,4400,0.0428
ARKQ,2021-02-16,Buy,KMTUY,500458401,KOMATSU LTD,50400,0.0385
ARKQ,2021-02-16,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,18463,0.0173
ARKQ,2021-02-16,Buy,TDY,879360105,TELEDYNE TECHNOLOGIES INC,28200,0.2723
ARKQ,2021-02-16,Buy,ACIC,049284102,ATLAS CREST INVESTMENT CORP,372574,0.1285
ARKQ,2021-02-16,Sell,BYDDY,05606L100,BYD CO LTD,12353,0.021
ARKQ,2021-02-16,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,71667,0.248
ARKQ,2021-02-16,Sell,AVAV,008073108,AEROVIRONMENT INC,6115,0.0205
ARKW,2021-02-16,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,1560200,0.4961
ARKW,2021-02-16,Sell,PSTG,74624M102,PURE STORAGE INC,265044,0.0814
ARKW,2021-02-16,Sell,PD,69553P100,PAGERDUTY INC,31012,0.0188
ARKW,2021-02-16,Sell,Z,98954M200,ZILLOW GROUP INC,67864,0.1481
ARKW,2021-02-16,Sell,API,00851L103,AGORA INC,25621,0.0287
ARKW,2021-02-16,Sell,SE,81141R100,SEA LTD,31931,0.0964
