fund,date,direction,ticker,cusip,company,shares,% of etf
ARKF,2021-02-10,Buy,1833,G71139102,PING AN HEALTHCARE AND TECHNOLOGY CO LTD,497800,0.1854
ARKF,2021-02-10,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,4400,0.0343
ARKF,2021-02-10,Sell,LSPD,53227R106,LIGHTSPEED POS INC,16600,0.0335
ARKF,2021-02-10,Sell,ADYEN,N3501V104,ADYEN NV,4542,0.3062
ARKF,2021-02-10,Sell,3690,G59669104,MEITUAN,200604,0.293
ARKG,2021-02-10,Buy,RHHBY,771195104,ROCHE HOLDING AG,485288,0.1685
ARKG,2021-02-10,Buy,NVS,66987V109,NOVARTIS AG,87684,0.0639
ARKG,2021-02-10,Sell,CDNA,14167L103,CAREDX INC,76084,0.0564
ARKK,2021-02-10,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,71033,0.1297
ARKK,2021-02-10,Buy,FATE,31189P102,FATE THERAPEUTICS INC,11980,0.0046
ARKK,2021-02-10,Buy,NTDOY,654445303,NINTENDO CO LTD,10100,0.0029
ARKK,2021-02-10,Buy,NVS,66987V109,NOVARTIS AG,90902,0.0307
ARKK,2021-02-10,Sell,SSYS,M85548101,STRATASYS LTD,15420,0.003
ARKK,2021-02-10,Sell,MTLS,57667T100,MATERIALISE NV,16484,0.005
ARKK,2021-02-10,Sell,SPLK,848637104,SPLUNK INC,114882,0.0721
ARKK,2021-02-10,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,31705,0.0021
ARKQ,2021-02-10,Buy,KMTUY,500458401,KOMATSU LTD,71564,0.0557
ARKQ,2021-02-10,Buy,PCAR,693718108,PACCAR INC,71400,0.1857
ARKQ,2021-02-10,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,36147,0.0153
ARKW,2021-02-10,Buy,SHOP,82509L107,SHOPIFY INC,10437,0.1788
ARKW,2021-02-10,Sell,API,00851L103,AGORA INC,17639,0.0204
