fund,date,direction,ticker,cusip,company,shares,% of etf
ARKF,2021-02-08,Buy,SHOP,82509L107,SHOPIFY INC,31934,1.2583
ARKF,2021-02-08,Buy,DKNG,26142R104,DRAFTKINGS INC,272900,0.5039
ARKF,2021-02-08,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,75172,0.2955
ARKF,2021-02-08,Sell,MELI,58733R102,MERCADOLIBRE INC,5311,0.2986
ARKF,2021-02-08,Sell,PINS,72352L106,PINTEREST INC,123938,0.2904
ARKF,2021-02-08,Sell,SE,81141R100,SEA LTD,37851,0.2998
ARKF,2021-02-08,Sell,PDD,722304102,PINDUODUO INC,87005,0.4957
ARKF,2021-02-08,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,106194,0.3002
ARKG,2021-02-08,Buy,RHHBY,771195104,ROCHE HOLDING AG,73800,0.0256
ARKG,2021-02-08,Buy,NVS,66987V109,NOVARTIS AG,47803,0.0351
ARKG,2021-02-08,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,72200,0.4261
ARKG,2021-02-08,Sell,CDNA,14167L103,CAREDX INC,36721,0.0274
ARKK,2021-02-08,Buy,NVS,66987V109,NOVARTIS AG,15467,0.0054
ARKK,2021-02-08,Buy,U,91332U101,UNITY SOFTWARE INC,419100,0.3365
ARKK,2021-02-08,Sell,PSTG,74624M102,PURE STORAGE INC,688087,0.0719
ARKK,2021-02-08,Sell,MTLS,57667T100,MATERIALISE NV,71300,0.021
ARKK,2021-02-08,Sell,SPLK,848637104,SPLUNK INC,73201,0.0479
ARKK,2021-02-08,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,160518,0.0109
ARKQ,2021-02-08,Buy,PCAR,693718108,PACCAR INC,52207,0.1401
ARKQ,2021-02-08,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,42985,0.0362
ARKQ,2021-02-08,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,85911,0.0365
ARKQ,2021-02-08,Buy,KMTUY,500458401,KOMATSU LTD,7728,0.0064
ARKQ,2021-02-08,Buy,BABA,01609W102,ALIBABA GROUP HOLDING LTD,136339,0.9995
ARKQ,2021-02-08,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,41000,0.1517
ARKQ,2021-02-08,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,253600,0.3948
ARKQ,2021-02-08,Sell,AVAV,008073108,AEROVIRONMENT INC,5991,0.021
ARKQ,2021-02-08,Sell,NNDM,63008G203,NANO DIMENSION LTD,405655,0.1823
ARKW,2021-02-08,Buy,DKNG,26142R104,DRAFTKINGS INC,229500,0.1762
ARKW,2021-02-08,Buy,TWTR,90184L102,TWITTER INC,436170,0.3144
ARKW,2021-02-08,Buy,SHOP,82509L107,SHOPIFY INC,12300,0.2046
ARKW,2021-02-08,Buy,U,91332U101,UNITY SOFTWARE INC,183300,0.4878
ARKW,2021-02-08,Sell,PINS,72352L106,PINTEREST INC,329200,0.3256
ARKW,2021-02-08,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,196000,0.2318
ARKW,2021-02-08,Sell,API,00851L103,AGORA INC,157993,0.1952
ARKW,2021-02-08,Sell,SE,81141R100,SEA LTD,101800,0.3317
