date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-11,ARKG,PACB,PACIFIC BIOSCIENCES OF CALIFORNIA INC,Sell,-667121,51.0,-34023171.0,34023171.0
2021-02-11,ARKG,CMLF,CM LIFE SCIENCES INC,Buy,1546926,20.959999084472656,32423567.54374695,32423567.54374695
2021-02-11,ARKK,IRDM,IRIDIUM COMMUNICATIONS INC,Buy,443799,47.5,21080452.5,21080452.5
2021-02-11,ARKK,NVS,NOVARTIS AG,Buy,194772,92.22000122070312,17961874.07775879,17961874.07775879
2021-02-11,ARKW,SHOP,SHOPIFY INC,Buy,9370,1475.6300048828125,13826653.145751953,13826653.145751953
2021-02-11,ARKG,RHHBY,ROCHE HOLDING AG,Buy,244902,43.7400016784668,10712013.891059875,10712013.891059875
2021-02-11,ARKF,LSPD,LIGHTSPEED POS INC,Sell,-71633,73.0199966430664,-5230641.419532776,5230641.419532776
2021-02-11,ARKF,PYPL,PAYPAL HOLDINGS INC,Buy,17056,287.3299865722656,4900700.2509765625,4900700.2509765625
2021-02-11,ARKK,SSYS,STRATASYS LTD,Sell,-88371,52.349998474121094,-4626221.715156555,4626221.715156555
2021-02-11,ARKK,FATE,FATE THERAPEUTICS INC,Buy,35519,105.13999938964844,3734467.638320923,3734467.638320923
2021-02-11,ARKK,NTDOY,NINTENDO CO LTD,Buy,46412,77.11000061035156,3578829.3483276367,3578829.3483276367
2021-02-11,ARKQ,EXPC,EXPERIENCE INVESTMENT CORP,Buy,188800,17.579999923706055,3319103.985595703,3319103.985595703
2021-02-11,ARKK,MTLS,MATERIALISE NV,Sell,-40000,77.55999755859375,-3102399.90234375,3102399.90234375
2021-02-11,ARKK,ONVO,ORGANOVO HOLDINGS INC,Sell,-39225,18.3799991607666,-720955.46708107,720955.46708107
2021-02-11,ARKQ,KMTUY,KOMATSU LTD,Buy,18000,29.850000381469727,537300.0068664551,537300.0068664551
2021-02-11,ARKG,LGVW,LONGVIEW ACQUISITION CORP,Buy,7133,23.450000762939453,167268.85544204712,167268.85544204712
