date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-05,ARKK,PINS,PINTEREST INC,Sell,-1472171,86.19999694824219,-126901135.70729065,126901135.70729065
2021-02-05,ARKK,SNAP,SNAP INC,Buy,2187585,56.38999938964844,123357916.81480408,123357916.81480408
2021-02-05,ARKK,U,UNITY SOFTWARE INC,Buy,764700,132.0,100940400.0,100940400.0
2021-02-05,ARKG,REGN,REGENERON PHARMACEUTICALS INC,Buy,62701,513.8400268554688,32218283.523864746,32218283.523864746
2021-02-05,ARKK,ROKU,ROKU INC,Sell,-59542,435.2099914550781,-25913273.31121826,25913273.31121826
2021-02-05,ARKK,NVS,NOVARTIS AG,Buy,282125,90.58000183105469,25554883.016586304,25554883.016586304
2021-02-05,ARKG,VRTX,VERTEX PHARMACEUTICALS INC,Buy,111700,214.5,23959650.0,23959650.0
2021-02-05,ARKG,TMO,THERMO FISHER SCIENTIFIC INC,Buy,35713,491.5299987792969,17554010.84640503,17554010.84640503
2021-02-05,ARKK,SPLK,SPLUNK INC,Sell,-98656,173.52000427246094,-17118789.541503906,17118789.541503906
2021-02-05,ARKW,PTON,PELOTON INTERACTIVE INC,Buy,106200,149.0,15823800.0,15823800.0
2021-02-05,ARKW,API,AGORA INC,Sell,-120800,87.19000244140625,-10532552.294921875,10532552.294921875
2021-02-05,ARKQ,NVDA,NVIDIA CORP,Buy,18609,549.0,10216341.0,10216341.0
2021-02-05,ARKF,LSPD,LIGHTSPEED POS INC,Sell,-111900,73.93000030517578,-8272767.03414917,8272767.03414917
2021-02-05,ARKF,PYPL,PAYPAL HOLDINGS INC,Buy,24743,268.6099853515625,6646216.867553711,6646216.867553711
2021-02-05,ARKK,PSTG,PURE STORAGE INC,Sell,-239400,27.18000030517578,-6506892.073059082,6506892.073059082
2021-02-05,ARKQ,TER,TERADYNE INC,Buy,49277,127.2300033569336,6269512.875419617,6269512.875419617
2021-02-05,ARKW,HUYA,HUYA INC,Sell,-219670,26.110000610351562,-5735583.834075928,5735583.834075928
2021-02-05,ARKQ,KTOS,KRATOS DEFENSE & SECURITY SOLUTIONS INC,Buy,134426,29.75,3999173.5,3999173.5
2021-02-05,ARKG,LGVW,LONGVIEW ACQUISITION CORP,Buy,67318,20.0,1346360.0,1346360.0
2021-02-05,ARKQ,AVAV,AEROVIRONMENT INC,Sell,-8344,122.25,-1020054.0,1020054.0
2021-02-05,ARKK,ONVO,ORGANOVO HOLDINGS INC,Sell,-18364,14.520000457763672,-266645.28840637207,266645.28840637207
