date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-09,ARKW,SHOP,SHOPIFY INC,Buy,29700,1365.530029296875,40556241.87011719,40556241.87011719
2021-02-09,ARKG,NVS,NOVARTIS AG,Buy,426773,91.0,38836343.0,38836343.0
2021-02-09,ARKW,TWTR,TWITTER INC,Buy,483217,58.63999938964844,28335844.58506775,28335844.58506775
2021-02-09,ARKW,DKNG,DRAFTKINGS INC,Buy,443500,62.36199951171875,27657546.783447266,27657546.783447266
2021-02-09,ARKW,PINS,PINTEREST INC,Sell,-344840,79.44999694824219,-27397536.947631836,27397536.947631836
2021-02-09,ARKW,TCEHY,TENCENT HOLDINGS LTD,Sell,-233369,96.69000244140625,-22564449.179748535,22564449.179748535
2021-02-09,ARKW,SE,SEA LTD,Sell,-54529,266.1000061035156,-14510167.232818604,14510167.232818604
2021-02-09,ARKG,REGN,REGENERON PHARMACEUTICALS INC,Buy,28723,496.5299987792969,14261831.154937744,14261831.154937744
2021-02-09,ARKG,CDNA,CAREDX INC,Sell,-122543,92.80000305175781,-11371990.773971558,11371990.773971558
2021-02-09,ARKQ,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Sell,-76027,133.97999572753906,-10186097.135177612,10186097.135177612
2021-02-09,ARKW,API,AGORA INC,Sell,-99582,99.13999938964844,-9872559.41921997,9872559.41921997
2021-02-09,ARKG,RHHBY,ROCHE HOLDING AG,Buy,200400,43.380001068115234,8693352.214050293,8693352.214050293
2021-02-09,ARKQ,NNDM,NANO DIMENSION LTD,Sell,-485600,15.979999542236328,-7759887.777709961,7759887.777709961
2021-02-09,ARKQ,PCAR,PACCAR INC,Buy,69427,97.11000061035156,6742056.012374878,6742056.012374878
2021-02-09,ARKK,REGN,REGENERON PHARMACEUTICALS INC,Buy,12396,496.5299987792969,6154985.864868164,6154985.864868164
2021-02-09,ARKF,PYPL,PAYPAL HOLDINGS INC,Buy,20600,280.3800048828125,5775828.1005859375,5775828.1005859375
2021-02-09,ARKQ,SSYS,STRATASYS LTD,Sell,-68059,54.7400016784668,-3725549.7742347717,3725549.7742347717
2021-02-09,ARKQ,KMTUY,KOMATSU LTD,Buy,117221,29.549999237060547,3463880.4605674744,3463880.4605674744
2021-02-09,ARKK,MTLS,MATERIALISE NV,Sell,-42572,77.6500015258789,-3305715.864959717,3305715.864959717
2021-02-09,ARKK,SPLK,SPLUNK INC,Sell,-18206,170.6699981689453,-3107217.9866638184,3107217.9866638184
2021-02-09,ARKF,LSPD,LIGHTSPEED POS INC,Sell,-44100,68.63999938964844,-3027023.973083496,3027023.973083496
2021-02-09,ARKK,SSYS,STRATASYS LTD,Sell,-34471,54.7400016784668,-1886942.597858429,1886942.597858429
2021-02-09,ARKQ,SPCE,VIRGIN GALACTIC HOLDINGS INC,Sell,-20519,56.060001373291016,-1150295.1681785583,1150295.1681785583
2021-02-09,ARKK,ONVO,ORGANOVO HOLDINGS INC,Sell,-40960,20.219999313354492,-828211.171875,828211.171875
2021-02-09,ARKQ,EXPC,EXPERIENCE INVESTMENT CORP,Buy,42659,15.619999885559082,666333.5751180649,666333.5751180649
