date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-04,ARKK,PCAR,PACCAR INC,Buy,341900,97.13999938964844,33212165.7913208,33212165.7913208
2021-02-04,ARKK,ROKU,ROKU INC,Sell,-73362,427.8900146484375,-31390867.254638672,31390867.254638672
2021-02-04,ARKF,LSPD,LIGHTSPEED POS INC,Sell,-371800,78.0999984741211,-29037579.432678223,29037579.432678223
2021-02-04,ARKK,NVS,NOVARTIS AG,Buy,247057,90.33999633789062,22319128.475250244,22319128.475250244
2021-02-04,ARKF,PYPL,PAYPAL HOLDINGS INC,Buy,66100,265.3399963378906,17538973.75793457,17538973.75793457
2021-02-04,ARKF,BILL,BILL.COM HOLDINGS INC,Buy,98899,135.49000549316406,13399826.053268433,13399826.053268433
2021-02-04,ARKK,SPLK,SPLUNK INC,Sell,-75789,171.80999755859375,-13021307.904968262,13021307.904968262
2021-02-04,ARKQ,TER,TERADYNE INC,Buy,90219,122.18000030517578,11022957.447532654,11022957.447532654
2021-02-04,ARKK,FATE,FATE THERAPEUTICS INC,Buy,56095,100.69000244140625,5648205.686950684,5648205.686950684
2021-02-04,ARKW,PSTG,PURE STORAGE INC,Sell,-180074,27.8799991607666,-5020462.968875885,5020462.968875885
2021-02-04,ARKQ,FLIR,FLIR SYSTEMS INC,Sell,-44757,54.119998931884766,-2422248.7921943665,2422248.7921943665
2021-02-04,ARKQ,AVAV,AEROVIRONMENT INC,Sell,-12619,122.5999984741211,-1547089.380744934,1547089.380744934
2021-02-04,ARKQ,MTLS,MATERIALISE NV,Sell,-21159,70.0,-1481130.0,1481130.0
2021-02-04,ARKQ,BYDDY,BYD CO LTD,Sell,-17865,67.02999877929688,-1197490.9281921387,1197490.9281921387
2021-02-04,ARKK,ONVO,ORGANOVO HOLDINGS INC,Sell,-7639,14.989999771118164,-114508.60825157166,114508.60825157166
