date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-17,ARKK,TSLA,TESLA INC,Buy,89447,779.0900268554688,69687265.63214111,69687265.63214111
2021-02-17,ARKK,SPLK,SPLUNK INC,Sell,-362921,168.5,-61152188.5,61152188.5
2021-02-17,ARKK,EXAS,EXACT SCIENCES CORP,Buy,401153,148.9499969482422,59751738.1257782,59751738.1257782
2021-02-17,ARKK,SHOP,SHOPIFY INC,Buy,39246,1384.1600341796875,54322744.701416016,54322744.701416016
2021-02-17,ARKG,EXAS,EXACT SCIENCES CORP,Buy,250505,148.9499969482422,37312718.98551941,37312718.98551941
2021-02-17,ARKG,GOOGL,ALPHABET INC,Sell,-17800,2093.97998046875,-37272843.65234375,37272843.65234375
2021-02-17,ARKG,ABBV,ABBVIE INC,Buy,294600,104.69999694824219,30844619.10095215,30844619.10095215
2021-02-17,ARKW,TSLA,TESLA INC,Buy,29508,779.0900268554688,22989388.512451172,22989388.512451172
2021-02-17,ARKW,SHOP,SHOPIFY INC,Buy,13035,1384.1600341796875,18042526.045532227,18042526.045532227
2021-02-17,ARKG,VEEV,VEEVA SYSTEMS INC,Buy,46198,316.45001220703125,14619357.66394043,14619357.66394043
2021-02-17,ARKQ,TSLA,TESLA INC,Buy,13173,779.0900268554688,10262952.92376709,10262952.92376709
2021-02-17,ARKK,SSYS,STRATASYS LTD,Sell,-186371,50.33000183105469,-9380052.771255493,9380052.771255493
2021-02-17,ARKG,SGFY,SIGNIFY HEALTH INC,Buy,228881,39.119998931884766,8953824.475528717,8953824.475528717
2021-02-17,ARKK,IRDM,IRIDIUM COMMUNICATIONS INC,Buy,184000,47.93000030517578,8819120.056152344,8819120.056152344
2021-02-17,ARKK,FATE,FATE THERAPEUTICS INC,Buy,79517,102.0199966430664,8112324.073066711,8112324.073066711
2021-02-17,ARKW,TCEHY,TENCENT HOLDINGS LTD,Sell,-79100,97.3499984741211,-7700384.8793029785,7700384.8793029785
2021-02-17,ARKK,BEAM,BEAM THERAPEUTICS INC,Buy,71530,104.5,7474885.0,7474885.0
2021-02-17,ARKW,PSTG,PURE STORAGE INC,Sell,-224119,27.799999237060547,-6230508.029010773,6230508.029010773
2021-02-17,ARKK,NTDOY,NINTENDO CO LTD,Buy,69200,81.4800033569336,5638416.232299805,5638416.232299805
2021-02-17,ARKG,CMLF,CM LIFE SCIENCES INC,Buy,228824,24.549999237060547,5617629.025421143,5617629.025421143
2021-02-17,ARKG,BFLY,BUTTERFLY NETWORK INC,Buy,145660,23.110000610351562,3366202.6889038086,3366202.6889038086
2021-02-17,ARKQ,BYDDY,BYD CO LTD,Sell,-45813,68.18000030517578,-3123530.353981018,3123530.353981018
2021-02-17,ARKW,PD,PAGERDUTY INC,Sell,-51982,54.279998779296875,-2821582.89654541,2821582.89654541
2021-02-17,ARKW,API,AGORA INC,Sell,-28800,97.23999786376953,-2800511.9384765625,2800511.9384765625
2021-02-17,ARKG,TWST,TWIST BIOSCIENCE CORP,Sell,-9894,155.0,-1533570.0,1533570.0
2021-02-17,ARKG,VCYT,VERACYTE INC,Sell,-17374,72.43000030517578,-1258398.825302124,1258398.825302124
2021-02-17,ARKQ,AVAV,AEROVIRONMENT INC,Sell,-8805,132.13999938964844,-1163492.6946258545,1163492.6946258545
2021-02-17,ARKQ,KMTUY,KOMATSU LTD,Buy,19200,30.6200008392334,587904.0161132812,587904.0161132812
2021-02-17,ARKQ,RAVN,RAVEN INDUSTRIES INC,Buy,14414,38.209999084472656,550758.9268035889,550758.9268035889
2021-02-17,ARKQ,TDY,TELEDYNE TECHNOLOGIES INC,Buy,519,390.25,202539.75,202539.75
2021-02-17,ARKK,ONVO,ORGANOVO HOLDINGS INC,Sell,-4733,18.149999618530273,-85903.94819450378,85903.94819450378
2021-02-17,ARKG,CDNA,CAREDX INC,Sell,-404,85.97000122070312,-34731.88049316406,34731.88049316406
