date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-08,ARKK,U,UNITY SOFTWARE INC,Buy,419100,127.6500015258789,53498115.63949585,53498115.63949585
2021-02-08,ARKF,SHOP,SHOPIFY INC,Buy,31934,1303.8599853515625,41637464.7722168,41637464.7722168
2021-02-08,ARKG,REGN,REGENERON PHARMACEUTICALS INC,Buy,72200,503.1400146484375,36326709.05761719,36326709.05761719
2021-02-08,ARKQ,BABA,ALIBABA GROUP HOLDING LTD,Buy,136339,264.9800109863281,36127109.71786499,36127109.71786499
2021-02-08,ARKW,PINS,PINTEREST INC,Sell,-329200,81.43000030517578,-26806756.100463867,26806756.100463867
2021-02-08,ARKW,SE,SEA LTD,Sell,-101800,258.69000244140625,-26334642.248535156,26334642.248535156
2021-02-08,ARKW,TWTR,TWITTER INC,Buy,436170,57.79999923706055,25210625.6672287,25210625.6672287
2021-02-08,ARKW,U,UNITY SOFTWARE INC,Buy,183300,127.6500015258789,23398245.279693604,23398245.279693604
2021-02-08,ARKK,PSTG,PURE STORAGE INC,Sell,-688087,27.440000534057617,-18881107.647478104,18881107.647478104
2021-02-08,ARKW,TCEHY,TENCENT HOLDINGS LTD,Sell,-196000,95.58999633789062,-18735639.282226562,18735639.282226562
2021-02-08,ARKF,DKNG,DRAFTKINGS INC,Buy,272900,64.72000122070312,17662088.333129883,17662088.333129883
2021-02-08,ARKF,PDD,PINDUODUO INC,Sell,-87005,197.07000732421875,-17146075.987243652,17146075.987243652
2021-02-08,ARKW,API,AGORA INC,Sell,-157993,103.0,-16273279.0,16273279.0
2021-02-08,ARKW,SHOP,SHOPIFY INC,Buy,12300,1303.8599853515625,16037477.819824219,16037477.819824219
2021-02-08,ARKW,DKNG,DRAFTKINGS INC,Buy,229500,64.72000122070312,14853240.280151367,14853240.280151367
2021-02-08,ARKQ,SPCE,VIRGIN GALACTIC HOLDINGS INC,Sell,-253600,55.9900016784668,-14199064.42565918,14199064.42565918
2021-02-08,ARKK,SPLK,SPLUNK INC,Sell,-73201,172.32000732421875,-12613996.856140137,12613996.856140137
2021-02-08,ARKF,MELI,MERCADOLIBRE INC,Sell,-5311,1948.0,-10345828.0,10345828.0
2021-02-08,ARKF,TCEHY,TENCENT HOLDINGS LTD,Sell,-106194,95.58999633789062,-10151084.071105957,10151084.071105957
2021-02-08,ARKF,PINS,PINTEREST INC,Sell,-123938,81.43000030517578,-10092271.377822876,10092271.377822876
2021-02-08,ARKF,SE,SEA LTD,Sell,-37851,258.69000244140625,-9791675.282409668,9791675.282409668
2021-02-08,ARKF,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Sell,-75172,128.6999969482422,-9674636.170593262,9674636.170593262
2021-02-08,ARKQ,NNDM,NANO DIMENSION LTD,Sell,-405655,15.039999961853027,-6101051.18452549,6101051.18452549
2021-02-08,ARKQ,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Sell,-41000,128.6999969482422,-5276699.87487793,5276699.87487793
2021-02-08,ARKK,MTLS,MATERIALISE NV,Sell,-71300,73.0,-5204900.0,5204900.0
2021-02-08,ARKQ,PCAR,PACCAR INC,Buy,52207,97.38999938964844,5084439.698135376,5084439.698135376
2021-02-08,ARKG,NVS,NOVARTIS AG,Buy,47803,91.41999816894531,4370150.172470093,4370150.172470093
2021-02-08,ARKG,CDNA,CAREDX INC,Sell,-36721,88.88999938964844,-3264129.6675872803,3264129.6675872803
2021-02-08,ARKG,RHHBY,ROCHE HOLDING AG,Buy,73800,42.970001220703125,3171186.0900878906,3171186.0900878906
2021-02-08,ARKK,ONVO,ORGANOVO HOLDINGS INC,Sell,-160518,15.739999771118164,-2526553.2832603455,2526553.2832603455
2021-02-08,ARKK,NVS,NOVARTIS AG,Buy,15467,91.41999816894531,1413993.1116790771,1413993.1116790771
2021-02-08,ARKQ,KTOS,KRATOS DEFENSE & SECURITY SOLUTIONS INC,Buy,42985,31.329999923706055,1346720.0467205048,1346720.0467205048
2021-02-08,ARKQ,EXPC,EXPERIENCE INVESTMENT CORP,Buy,85911,15.300000190734863,1314438.3163862228,1314438.3163862228
2021-02-08,ARKQ,AVAV,AEROVIRONMENT INC,Sell,-5991,124.94000244140625,-748515.5546264648,748515.5546264648
2021-02-08,ARKQ,KMTUY,KOMATSU LTD,Buy,7728,29.459999084472656,227666.8729248047,227666.8729248047
