date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-18,ARKK,PLTR,PALANTIR TECHNOLOGIES INC,Buy,5274700,27.989999771118164,147638851.79271698,147638851.79271698
2021-02-18,ARKK,TWLO,TWILIO INC,Sell,-93231,441.0,-41114871.0,41114871.0
2021-02-18,ARKK,TCEHY,TENCENT HOLDINGS LTD,Sell,-285101,95.5999984741211,-27255655.164970398,27255655.164970398
2021-02-18,ARKG,ABBV,ABBVIE INC,Buy,186105,105.31999969482422,19600578.54320526,19600578.54320526
2021-02-18,ARKG,TMO,THERMO FISHER SCIENTIFIC INC,Sell,-34800,497.5799865722656,-17315783.532714844,17315783.532714844
2021-02-18,ARKK,TXG,10X GENOMICS INC,Buy,77728,183.44000244140625,14258424.509765625,14258424.509765625
2021-02-18,ARKG,VEEV,VEEVA SYSTEMS INC,Buy,40818,316.45001220703125,12916856.598266602,12916856.598266602
2021-02-18,ARKK,EXAS,EXACT SCIENCES CORP,Buy,75282,141.0,10614762.0,10614762.0
2021-02-18,ARKW,TCEHY,TENCENT HOLDINGS LTD,Sell,-104172,95.5999984741211,-9958843.041046143,9958843.041046143
2021-02-18,ARKK,SPLK,SPLUNK INC,Sell,-56751,166.91000366210938,-9472309.61782837,9472309.61782837
2021-02-18,ARKG,PACB,PACIFIC BIOSCIENCES OF CALIFORNIA INC,Sell,-224750,41.73400115966797,-9379716.760635376,9379716.760635376
2021-02-18,ARKK,IRDM,IRIDIUM COMMUNICATIONS INC,Buy,160022,46.970001220703125,7516233.5353393555,7516233.5353393555
2021-02-18,ARKK,BEAM,BEAM THERAPEUTICS INC,Buy,59522,102.18000030517578,6081957.978164673,6081957.978164673
2021-02-18,ARKW,PSTG,PURE STORAGE INC,Sell,-153739,26.799999237060547,-4120205.0827064514,4120205.0827064514
2021-02-18,ARKK,NTDOY,NINTENDO CO LTD,Buy,43100,81.0999984741211,3495409.934234619,3495409.934234619
2021-02-18,ARKK,FATE,FATE THERAPEUTICS INC,Buy,34007,100.51000213623047,3418043.6426467896,3418043.6426467896
2021-02-18,ARKQ,EXPC,EXPERIENCE INVESTMENT CORP,Buy,175644,17.040000915527344,2992973.9208068848,2992973.9208068848
2021-02-18,ARKG,TWST,TWIST BIOSCIENCE CORP,Sell,-17850,148.6300048828125,-2653045.587158203,2653045.587158203
2021-02-18,ARKG,CDNA,CAREDX INC,Sell,-21829,82.5999984741211,-1803075.3666915894,1803075.3666915894
2021-02-18,ARKG,SGFY,SIGNIFY HEALTH INC,Buy,44305,37.5,1661437.5,1661437.5
2021-02-18,ARKQ,BYDDY,BYD CO LTD,Sell,-14356,65.47000122070312,-939887.3375244141,939887.3375244141
2021-02-18,ARKQ,KMTUY,KOMATSU LTD,Buy,20019,31.0,620589.0,620589.0
2021-02-18,ARKQ,TDY,TELEDYNE TECHNOLOGIES INC,Buy,1296,399.4800109863281,517726.09423828125,517726.09423828125
2021-02-18,ARKG,VCYT,VERACYTE INC,Sell,-6690,70.88999938964844,-474254.09591674805,474254.09591674805
2021-02-18,ARKG,MASS,908 DEVICES INC,Buy,6191,70.69000244140625,437641.8051147461,437641.8051147461
2021-02-18,ARKQ,AVAV,AEROVIRONMENT INC,Sell,-400,127.97000122070312,-51188.00048828125,51188.00048828125
2021-02-18,ARKK,SSYS,STRATASYS LTD,Sell,-10,46.88999938964844,-468.8999938964844,468.8999938964844
