date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-02,ARKK,TER,TERADYNE INC,Buy,605664,121.5,73588176.0,73588176.0
2021-02-02,ARKK,PCAR,PACCAR INC,Buy,353900,92.25,32647275.0,32647275.0
2021-02-02,ARKG,VRTX,VERTEX PHARMACEUTICALS INC,Buy,81700,225.8000030517578,18447860.249328613,18447860.249328613
2021-02-02,ARKK,SPLK,SPLUNK INC,Sell,-66224,173.0,-11456752.0,11456752.0
2021-02-02,ARKF,BEKE,KE HOLDINGS INC,Buy,114300,63.9900016784668,7314057.191848755,7314057.191848755
2021-02-02,ARKF,SE,SEA LTD,Sell,-29463,235.9199981689453,-6950910.906051636,6950910.906051636
2021-02-02,ARKG,TWST,TWIST BIOSCIENCE CORP,Sell,-36731,183.58999633789062,-6743444.155487061,6743444.155487061
2021-02-02,ARKQ,LMT,LOCKHEED MARTIN CORP,Buy,16500,327.42999267578125,5402594.879150391,5402594.879150391
2021-02-02,ARKQ,IRDM,IRIDIUM COMMUNICATIONS INC,Sell,-86227,50.52000045776367,-4356188.079471588,4356188.079471588
2021-02-02,ARKQ,MTLS,MATERIALISE NV,Sell,-57976,69.58000183105469,-4033970.1861572266,4033970.1861572266
2021-02-02,ARKQ,FLIR,FLIR SYSTEMS INC,Sell,-65160,53.5,-3486060.0,3486060.0
2021-02-02,ARKG,NVS,NOVARTIS AG,Buy,30705,90.47000122070312,2777881.3874816895,2777881.3874816895
2021-02-02,ARKQ,BYDDY,BYD CO LTD,Sell,-37196,68.05999755859375,-2531559.669189453,2531559.669189453
2021-02-02,ARKW,FSLY,FASTLY INC,Sell,-22800,109.9800033569336,-2507544.076538086,2507544.076538086
2021-02-02,ARKK,BEAM,BEAM THERAPEUTICS INC,Buy,18210,100.0,1821000.0,1821000.0
2021-02-02,ARKQ,AVAV,AEROVIRONMENT INC,Sell,-6193,121.62999725341797,-753254.5729904175,753254.5729904175
2021-02-02,ARKK,FATE,FATE THERAPEUTICS INC,Buy,5878,96.0,564288.0,564288.0
2021-02-02,ARKG,RPTX,REPARE THERAPEUTICS INC,Buy,8401,37.79999923706055,317557.79359054565,317557.79359054565
