date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-16,ARKW,PLTR,PALANTIR TECHNOLOGIES INC,Buy,1560200,30.020000457763672,46837204.71420288,46837204.71420288
2021-02-16,ARKK,SPLK,SPLUNK INC,Sell,-119650,174.0,-20819100.0,20819100.0
2021-02-16,ARKW,Z,ZILLOW GROUP INC,Sell,-67864,200.99000549316406,-13639985.732788086,13639985.732788086
2021-02-16,ARKG,SGFY,SIGNIFY HEALTH INC,Buy,360361,36.79999923706055,13261284.525066376,13261284.525066376
2021-02-16,ARKQ,TDY,TELEDYNE TECHNOLOGIES INC,Buy,32600,395.2799987792969,12886127.960205078,12886127.960205078
2021-02-16,ARKG,ABBV,ABBVIE INC,Buy,121900,105.33000183105469,12839727.223205566,12839727.223205566
2021-02-16,ARKQ,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Sell,-71667,141.61000061035156,-10148763.913742065,10148763.913742065
2021-02-16,ARKW,SE,SEA LTD,Sell,-31931,281.9200134277344,-9001987.948760986,9001987.948760986
2021-02-16,ARKW,PSTG,PURE STORAGE INC,Sell,-265044,29.3799991607666,-7786992.497566223,7786992.497566223
2021-02-16,ARKQ,AMZN,AMAZON.COM INC,Buy,1875,3254.050048828125,6101343.841552734,6101343.841552734
2021-02-16,ARKG,VEEV,VEEVA SYSTEMS INC,Buy,17771,321.0799865722656,5705912.441375732,5705912.441375732
2021-02-16,ARKK,NTDOY,NINTENDO CO LTD,Buy,68500,81.41000366210938,5576585.250854492,5576585.250854492
2021-02-16,ARKQ,ACIC,ATLAS CREST INVESTMENT CORP,Buy,372574,14.869999885559082,5540175.337362289,5540175.337362289
2021-02-16,ARKK,BEAM,BEAM THERAPEUTICS INC,Buy,51023,107.5999984741211,5490074.722145081,5490074.722145081
2021-02-16,ARKQ,LMT,LOCKHEED MARTIN CORP,Buy,10600,339.25,3596050.0,3596050.0
2021-02-16,ARKW,API,AGORA INC,Sell,-25621,111.5,-2856741.5,2856741.5
2021-02-16,ARKK,FATE,FATE THERAPEUTICS INC,Buy,26283,104.5,2746573.5,2746573.5
2021-02-16,ARKK,IRDM,IRIDIUM COMMUNICATIONS INC,Buy,44342,50.150001525878906,2223751.3676605225,2223751.3676605225
2021-02-16,ARKW,PD,PAGERDUTY INC,Sell,-31012,57.54999923706055,-1784740.5763397217,1784740.5763397217
2021-02-16,ARKG,VCYT,VERACYTE INC,Sell,-21481,77.76000213623047,-1670362.6058883667,1670362.6058883667
2021-02-16,ARKK,MTLS,MATERIALISE NV,Sell,-21152,78.12000274658203,-1652394.2980957031,1652394.2980957031
2021-02-16,ARKQ,KMTUY,KOMATSU LTD,Buy,50400,30.540000915527344,1539216.0461425781,1539216.0461425781
2021-02-16,ARKQ,ISRG,INTUITIVE SURGICAL INC,Buy,1793,810.0,1452330.0,1452330.0
2021-02-16,ARKK,SSYS,STRATASYS LTD,Sell,-28069,51.380001068115234,-1442185.2499809265,1442185.2499809265
2021-02-16,ARKG,PACB,PACIFIC BIOSCIENCES OF CALIFORNIA INC,Sell,-17049,51.11000061035156,-871374.4004058838,871374.4004058838
2021-02-16,ARKQ,BYDDY,BYD CO LTD,Sell,-12353,69.5,-858533.5,858533.5
2021-02-16,ARKQ,AVAV,AEROVIRONMENT INC,Sell,-6115,138.22000122070312,-845215.3074645996,845215.3074645996
2021-02-16,ARKG,CDNA,CAREDX INC,Sell,-9220,90.76000213623047,-836807.2196960449,836807.2196960449
2021-02-16,ARKQ,RAVN,RAVEN INDUSTRIES INC,Buy,18463,37.790000915527344,697716.7869033813,697716.7869033813
2021-02-16,ARKG,BFLY,BUTTERFLY NETWORK INC,Buy,27408,24.799999237060547,679718.3790893555,679718.3790893555
2021-02-16,ARKG,TWST,TWIST BIOSCIENCE CORP,Sell,-1646,173.57000732421875,-285696.23205566406,285696.23205566406
2021-02-16,ARKK,ONVO,ORGANOVO HOLDINGS INC,Sell,-3367,20.31999969482422,-68417.43897247314,68417.43897247314
