date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-03,ARKK,SPOT,SPOTIFY TECHNOLOGY SA,Buy,385932,321.5,124077138.0,124077138.0
2021-02-03,ARKW,SPOT,SPOTIFY TECHNOLOGY SA,Buy,117796,321.5,37871414.0,37871414.0
2021-02-03,ARKK,SPLK,SPLUNK INC,Sell,-173800,177.2899932861328,-30813000.833129883,30813000.833129883
2021-02-03,ARKK,PCAR,PACCAR INC,Buy,318474,92.9000015258789,29586235.08595276,29586235.08595276
2021-02-03,ARKG,NVS,NOVARTIS AG,Buy,299907,89.3499984741211,26796689.992378235,26796689.992378235
2021-02-03,ARKQ,TER,TERADYNE INC,Buy,189234,123.47000122070312,23364722.210998535,23364722.210998535
2021-02-03,ARKK,ROKU,ROKU INC,Sell,-53551,422.4949951171875,-22625029.483520508,22625029.483520508
2021-02-03,ARKG,TWST,TWIST BIOSCIENCE CORP,Sell,-97415,196.75,-19166401.25,19166401.25
2021-02-03,ARKK,TER,TERADYNE INC,Buy,104809,123.47000122070312,12940767.357940674,12940767.357940674
2021-02-03,ARKG,VRTX,VERTEX PHARMACEUTICALS INC,Buy,57100,218.4199981689453,12471781.895446777,12471781.895446777
2021-02-03,ARKK,FATE,FATE THERAPEUTICS INC,Buy,98059,99.19999694824219,9727452.50074768,9727452.50074768
2021-02-03,ARKW,PSTG,PURE STORAGE INC,Sell,-261344,25.34000015258789,-6622456.99987793,6622456.99987793
2021-02-03,ARKQ,NNDM,NANO DIMENSION LTD,Sell,-310800,15.1899995803833,-4721051.86958313,4721051.86958313
2021-02-03,ARKQ,MTLS,MATERIALISE NV,Sell,-47430,72.98999786376953,-3461915.598678589,3461915.598678589
2021-02-03,ARKQ,FLIR,FLIR SYSTEMS INC,Sell,-50496,54.2599983215332,-2739912.8752441406,2739912.8752441406
2021-02-03,ARKQ,BYDDY,BYD CO LTD,Sell,-31150,70.5999984741211,-2199189.952468872,2199189.952468872
2021-02-03,ARKQ,AVAV,AEROVIRONMENT INC,Sell,-13095,119.0,-1558305.0,1558305.0
2021-02-03,ARKK,ONVO,ORGANOVO HOLDINGS INC,Sell,-25276,13.680000305175781,-345775.68771362305,345775.68771362305
