date,fund,ticker,company,signal,shares,Open,volume,abs_volume
2021-02-10,ARKK,REGN,REGENERON PHARMACEUTICALS INC,Buy,71033,493.42999267578125,35049812.66973877,35049812.66973877
2021-02-10,ARKG,RHHBY,ROCHE HOLDING AG,Buy,485288,43.83000183105469,21270173.928588867,21270173.928588867
2021-02-10,ARKK,SPLK,SPLUNK INC,Sell,-114882,172.80999755859375,-19852758.139526367,19852758.139526367
2021-02-10,ARKW,SHOP,SHOPIFY INC,Buy,10437,1448.010009765625,15112880.471923828,15112880.471923828
2021-02-10,ARKK,NVS,NOVARTIS AG,Buy,90902,92.0,8362984.0,8362984.0
2021-02-10,ARKG,NVS,NOVARTIS AG,Buy,87684,92.0,8066928.0,8066928.0
2021-02-10,ARKQ,PCAR,PACCAR INC,Buy,71400,100.30999755859375,7162133.825683594,7162133.825683594
2021-02-10,ARKG,CDNA,CAREDX INC,Sell,-76084,90.50800323486328,-6886210.918121338,6886210.918121338
2021-02-10,ARKQ,KMTUY,KOMATSU LTD,Buy,71564,29.920000076293945,2141194.8854599,2141194.8854599
2021-02-10,ARKW,API,AGORA INC,Sell,-17639,100.0,-1763900.0,1763900.0
2021-02-10,ARKK,MTLS,MATERIALISE NV,Sell,-16484,84.38999938964844,-1391084.7499389648,1391084.7499389648
2021-02-10,ARKK,FATE,FATE THERAPEUTICS INC,Buy,11980,106.16999816894531,1271916.5780639648,1271916.5780639648
2021-02-10,ARKF,PYPL,PAYPAL HOLDINGS INC,Buy,4400,285.1000061035156,1254440.0268554688,1254440.0268554688
2021-02-10,ARKF,LSPD,LIGHTSPEED POS INC,Sell,-16600,71.9800033569336,-1194868.0557250977,1194868.0557250977
2021-02-10,ARKK,SSYS,STRATASYS LTD,Sell,-15420,53.29999923706055,-821885.9882354736,821885.9882354736
2021-02-10,ARKK,NTDOY,NINTENDO CO LTD,Buy,10100,77.0,777700.0,777700.0
2021-02-10,ARKQ,EXPC,EXPERIENCE INVESTMENT CORP,Buy,36147,17.31999969482422,626066.028968811,626066.028968811
2021-02-10,ARKK,ONVO,ORGANOVO HOLDINGS INC,Sell,-31705,17.979999542236328,-570055.8854866028,570055.8854866028
