fund,date,direction,ticker,cusip,company,shares,% of etf
ARKG,2021-02-18,Buy,VEEV,922475108,VEEVA SYSTEMS INC,40818,0.1036
ARKG,2021-02-18,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,44305,0.0135
ARKG,2021-02-18,Buy,MASS,65443P102,908 DEVICES INC,6191,0.0032
ARKG,2021-02-18,Buy,ABBV,00287Y109,ABBVIE INC,186105,0.1605
ARKG,2021-02-18,Sell,VCYT,92337F107,VERACYTE INC,6690,0.0039
ARKG,2021-02-18,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,17850,0.022
ARKG,2021-02-18,Sell,TMO,883556102,THERMO FISHER SCIENTIFIC INC,34800,0.1392
ARKG,2021-02-18,Sell,CDNA,14167L103,CAREDX INC,21829,0.0148
ARKG,2021-02-18,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,224750,0.0792
ARKK,2021-02-18,Buy,FATE,31189P102,FATE THERAPEUTICS INC,34007,0.0127
ARKK,2021-02-18,Buy,EXAS,30063P105,EXACT SCIENCES CORP,75282,0.0383
ARKK,2021-02-18,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,59522,0.0225
ARKK,2021-02-18,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,160022,0.0276
ARKK,2021-02-18,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,5274700,0.5038
ARKK,2021-02-18,Buy,TXG,88025U109,10X GENOMICS INC,77728,0.0528
ARKK,2021-02-18,Buy,NTDOY,654445303,NINTENDO CO LTD,43100,0.0128
ARKK,2021-02-18,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,285101,0.0996
ARKK,2021-02-18,Sell,TWLO,90138F102,TWILIO INC,93231,0.1521
ARKK,2021-02-18,Sell,SPLK,848637104,SPLUNK INC,56751,0.0345
ARKK,2021-02-18,Sell,SSYS,M85548101,STRATASYS LTD,10,0.0
ARKQ,2021-02-18,Buy,TDY,879360105,TELEDYNE TECHNOLOGIES INC,1296,0.013
ARKQ,2021-02-18,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,175644,0.0752
ARKQ,2021-02-18,Buy,KMTUY,500458401,KOMATSU LTD,20019,0.0152
ARKQ,2021-02-18,Sell,BYDDY,05606L100,BYD CO LTD,14356,0.0231
ARKQ,2021-02-18,Sell,AVAV,008073108,AEROVIRONMENT INC,400,0.0013
ARKW,2021-02-18,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,104172,0.1073
ARKW,2021-02-18,Sell,PSTG,74624M102,PURE STORAGE INC,153739,0.0454
